word,score
0min,-0.2620545073375262
0mins,-0.38368580060422963
0minute,-0.16666666666666663
0minutes,-0.5578947368421052
2min,-0.4666666666666667
2mins,0.0
3min,-0.125
4min,-0.19999999999999996
4mins,0.19999999999999996
5min,-0.37681159420289856
5mins,-0.48235294117647054
5minute,-0.1428571428571429
5minutes,-0.4925373134328358
7min,-0.33333333333333337
7mins,0.1428571428571428
7minutes,0.19999999999999996
8min,0.0
8mins,-1.0
aa,-0.288135593220339
aah,0.09090909090909083
aahh,0.2857142857142858
aand,0.6000000000000001
aaron,0.36170212765957444
ab,0.3157894736842106
aback,-0.1777777777777778
abandon,-0.17829457364341084
abbey,0.8333333333333333
abbi,1.0
abbondanza,0.4285714285714286
abbot,-0.19999999999999996
abbreviate,-0.09999999999999998
abbreviation,-1.0
abby,0.75
abc,0.20930232558139528
abd,0.3529411764705883
abdominal,-0.8
abe,0.0
abel,1.0
aber,0.36363636363636354
aberration,0.19999999999999996
abhor,-0.07692307692307687
abhorrent,-1.0
abide,0.09090909090909083
abijah,1.0
ability,0.23880597014925375
abit,0.17647058823529416
abita,0.8823529411764706
able,0.2549182599057911
abnormal,0.0
abnormally,0.26315789473684204
abo,0.41666666666666674
aboard,0.6000000000000001
abominable,-0.6
abomination,-0.35
abordable,0.22222222222222232
abordables,0.5384615384615385
abort,-0.19999999999999996
abou,0.1428571428571428
abound,0.37777777777777777
abouti,-0.29032258064516125
aboutif,0.6000000000000001
aboutit,-0.6666666666666667
aboutmy,-0.4285714285714286
aboutoverall,0.0
aboutpizza,-0.19999999999999996
aboutso,-0.19999999999999996
aboutthe,-0.02564102564102566
aboutthey,0.33333333333333326
aboutthis,0.25
aboutwe,-0.16666666666666663
abraham,-0.25
abrasive,-0.5675675675675675
abroad,0.8666666666666667
abrupt,-0.4666666666666667
abruptly,-0.7846153846153846
abruzzi,1.0
abruzzo,0.6376811594202898
abruzzos,0.7142857142857142
absence,-0.09523809523809523
absent,-0.3858267716535433
absentee,-0.6666666666666667
absinthe,0.625
absolument,0.33333333333333326
absolut,0.1428571428571428
absolute,0.3887079261672095
absolutely,0.46529788540844086
absolutley,0.22222222222222232
absolutly,0.10000000000000009
absorb,0.027624309392265234
absorption,0.6666666666666667
absoutely,1.0
abstain,0.07692307692307687
abstract,-0.07692307692307687
absurd,-0.5754189944134078
absurdity,-0.25
absurdly,-0.07999999999999996
abt,0.07692307692307687
abundance,0.3387755102040817
abundant,0.3526570048309179
abundantly,-0.06666666666666665
abuse,-0.6235294117647059
abusive,-0.7297297297297297
abut,-0.1578947368421053
abv,0.6499999999999999
aby,-0.09090909090909094
abysmal,-0.8991596638655462
ac,-0.22117202268431002
academic,0.3999999999999999
academy,0.2727272727272727
acadia,0.7777777777777777
acai,0.027027027027026973
acapulco,0.75
acc,-0.11111111111111116
accelerate,0.0
accent,0.3480885311871227
accentuate,0.43999999999999995
accept,-0.27083333333333337
acceptable,-0.47150259067357514
acceptance,-0.11111111111111116
access,0.29268292682926833
accessibility,0.3913043478260869
accessible,0.48
accessory,0.7931034482758621
accident,0.3138075313807531
accidental,0.25
accidentally,0.1358024691358024
accidently,0.3793103448275863
acclaim,0.15384615384615374
acclimate,0.7777777777777777
accolade,0.16455696202531644
accomadate,0.19999999999999996
accomadating,0.7
